planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary
AF Lep b,AF Lep,2.42,,1664.46736746,5.237,7520.0,7.99,1400.0,1.33,6100.0,-0.02687,-0.02,F8 V,0.48281180529280154,0.7,11.00352881972793,False,False,True,False,False,False,False,0.0,1468.41681246,245.86991274903463,39.422622692677805,1.6685552407932012,0.0,0.5720535958435876,0.0,0.0,0
AT2021ueyL b,AT2021ueyL,2.42,,425.89006538,1.34,4168.69,4.01,811.0,1.33,3680.0,-0.02687,-0.02,M V,0.6074189989431872,0.5,9.72420817761084,False,False,False,False,False,True,False,0.0,229.83951038,136.13547681234957,19.526850544259343,0.0,0.0,-2.0749248017500683,0.0,0.0,0
AU Mic b,AU Mic,4.07,0.3631017,17.0,0.05348798,8.463,0.0645,593.0,1.4,3700.0,-0.02687,-0.02,G0 V,0.6111252078573838,1.0,0.4355826538998299,False,False,False,True,False,False,False,1.3306451612903227,-179.050555,-0.08593010421958219,-0.19645825262131797,-0.6175637393767706,0.06999999999999984,-2.053048947224501,0.0,0.0,0
AU Mic c,AU Mic,3.24,0.28905394,13.6,0.04279039,18.859019,0.1101,454.0,2.3,3700.0,-0.02687,-0.02,G0 V,0.7049433514883031,1.0,1.1237529283265186,False,False,False,True,False,False,False,0.6612903225806452,-182.450555,0.25447447815329904,0.03149330767211967,-1.0113314447592068,0.9699999999999998,-2.053048947224501,0.0,0.0,0
AU Mic d,AU Mic,2.42,,1.053,0.00331,12.73596,0.1038,811.0,1.33,3678.0,-1.0381,0.23,G0 V,0.6074189989431872,1.0,0.8424257170346838,False,False,False,True,False,False,False,0.0,-194.997555,0.053982603163506164,0.0,0.0,0.0,-2.077112387202625,-1.01123,1.1904761904761905,0
AU Mic e,AU Mic,2.42,,21.1,0.06638802,33.11,0.1038,811.0,1.33,3665.0,-0.99,0.12,G0 V,0.6074189989431872,1.0,1.4899374528491494,False,False,False,True,False,False,False,0.0,-174.950555,0.7211049485005411,0.0,0.0,0.0,-2.091331692644244,-0.96313,0.6666666666666666,0
BD+03 2562 b,BD+03 2562,2.42,,196.050555,,481.9,1.3,811.0,1.33,4095.0,2.7,-0.71,G0 V,0.6074189989431872,1.0,6.441695861098124,False,False,False,True,False,False,False,0.0,0.0,15.416169715420008,5.979729307522152,0.0,0.0,-1.6210008203445447,2.7268700000000003,-3.2857142857142856,0
BD+05 4868 A b,BD+05 4868 A,2.42,,6.2,0.01950738,1.271869,0.0208,1820.0,1.33,4596.0,-0.7167,-0.05,K V,0.4286979064851377,0.9,0.026110996646973864,False,False,False,False,True,False,False,0.0,-189.850555,-0.32139465510619364,-0.4149118312358624,2.858356940509915,0.0,-1.073010664479081,-0.68983,-0.14285714285714288,0
BD+14 4559 b,BD+14 4559,2.42,,196.050555,,268.94,0.777,811.0,1.33,5008.0,-0.32,0.1,K2 V,0.6074189989431872,0.9,5.346947422662763,False,False,False,False,True,False,False,0.0,0.0,8.443062041979937,3.365284876963645,0.0,0.0,-0.6223680612523926,-0.29313,0.5714285714285715,0
BD+15 2375 b,BD+15 2375,2.42,,196.050555,,153.22,0.576,811.0,1.33,4649.0,1.57,-0.22,G0 V,0.6074189989431872,1.0,4.49149430441544,False,False,False,True,False,False,False,0.0,0.0,4.653956012817253,2.3604983940912554,0.0,0.0,-1.0150396499863277,1.59687,-0.9523809523809524,0
BD+15 2940 b,BD+15 2940,2.42,,196.050555,,137.48,0.539,811.0,1.33,4796.0,2.01,0.28,K0,0.6074189989431872,0.9,4.318843461304096,False,False,False,False,True,False,False,0.0,0.0,4.1385694858640845,2.175537698239124,0.0,0.0,-0.8542521192234072,2.03687,1.4285714285714288,0
BD+20 2457 b,BD+20 2457,2.42,,196.050555,,379.63,1.45,811.0,1.33,4137.0,3.17,-1.0,K2 II,0.6074189989431872,0.9,6.312575653366458,False,False,False,False,True,False,False,0.0,0.0,12.067467039975249,6.729569966382144,0.0,0.0,-1.5750615258408531,3.19687,-4.666666666666667,0
BD+20 2457 c,BD+20 2457,2.42,,196.050555,,621.99,2.01,811.0,1.33,4137.0,3.17,-1.0,K2 II,0.6074189989431872,0.9,7.13185828986777,False,False,False,False,True,False,False,0.0,0.0,20.00324078027829,9.528975092792779,0.0,0.0,-1.5750615258408531,3.19687,-4.666666666666667,0
BD+20 274 b,BD+20 274,2.42,,196.050555,,578.2,1.3,811.0,1.33,4296.0,1.96,-0.46,K5 III,0.6074189989431872,0.9,6.623613598606346,False,False,False,False,True,False,False,0.0,0.0,18.5693922405528,5.979729307522152,0.0,0.0,-1.4011484823625924,1.98687,-2.0952380952380953,0
BD+20 594 b,BD+20 594,2.23,0.19894727,16.3,0.05128528,41.6855,0.241,546.0,7.89,5766.0,-0.05552,-0.15,G,0.7156044316570259,1.0,2.402086975325498,False,False,False,True,False,False,False,-0.15322580645161282,-179.750555,1.0018989232074593,0.6858542559706061,-0.7507082152974505,6.56,0.20672682526661199,-0.02865,-0.6190476190476191,0
BD+37 3172 b,BD+37 3172,2.42,,196.050555,,1887.76,4.65,811.0,1.33,4500.0,2.84,-0.03,G0 V,0.6074189989431872,1.0,9.080127353168393,False,False,False,True,False,False,False,0.0,0.0,61.449289333106236,22.726170688728647,0.0,0.0,-1.1780147662018048,2.86687,-0.047619047619047616,0
BD+42 2315 b,BD+42 2315,2.42,,196.050555,,123.05,0.54,811.0,1.33,4500.0,1.99,-0.2,G0 V,0.6074189989431872,1.0,4.211342104273957,False,False,False,True,False,False,False,0.0,0.0,3.6660772632507292,2.1805366359648577,0.0,0.0,-1.1780147662018048,2.01687,-0.8571428571428573,0
BD+45 564 b,BD+45 564,2.42,,196.050555,,307.88,0.83,811.0,1.33,5004.0,-0.02687,-0.09,K1,0.6074189989431872,0.9,5.547286157081528,False,False,False,False,True,False,False,0.0,0.0,9.71810342441681,3.6302285764275086,0.0,0.0,-0.6267432321575062,0.0,-0.3333333333333333,0
BD+48 738 b,BD+48 738,2.42,,196.050555,,392.6,1.0,811.0,1.33,4414.0,1.69,-0.2,K0 III,0.6074189989431872,0.9,5.975335165178098,False,False,False,False,True,False,False,0.0,0.0,12.492153396683165,4.480047989802166,0.0,0.0,-1.2720809406617446,1.71687,-0.8571428571428573,0
BD+48 740 b,BD+48 740,2.42,,196.050555,,733.0,1.7,811.0,1.33,4534.0,1.64,-0.13,G0 V,0.6074189989431872,1.0,7.128576134926702,False,False,False,True,False,False,False,0.0,0.0,23.638123776280274,7.979304397815464,0.0,0.0,-1.1408258135083402,1.6668699999999999,-0.5238095238095238,0
BD+49 828 b,BD+49 828,2.42,,196.050555,,2590.0,4.2,811.0,1.33,4943.0,1.47,-0.19,K0,0.6074189989431872,0.9,9.294589604421082,False,False,False,False,True,False,False,0.0,0.0,84.44325595874747,20.47664871214867,0.0,0.0,-0.6934645884604868,1.49687,-0.8095238095238096,0
BD+55 362 b,BD+55 362,2.42,,196.050555,,265.59,0.78,811.0,1.33,5012.0,-0.02687,0.18,K3,0.6074189989431872,0.9,5.338307975563119,False,False,False,False,True,False,False,0.0,0.0,8.333370500347591,3.380281690140845,0.0,0.0,-0.6179928903472792,0.0,0.9523809523809523,0
BD+60 1417 b,BD+60 1417,14.68376472,1.31,4767.426105,15.0,11.0873213,1662.0,1303.0,1.33,4993.0,0.35595,-0.02,K0,0.3228662804490157,0.9,9.821633472016057,False,False,False,False,True,False,False,9.890132838709675,4571.37555,0.0,8307.715610432782,1.3937677053824362,0.0,-0.6387749521465682,0.38282,0.0,0
BD+63 1405 b,BD+63 1405,2.42,,3305.4154328,10.4,1230.0,2.115,811.0,1.33,5000.0,-0.02687,-0.09,K0,0.6074189989431872,0.9,7.8642085880086965,False,False,False,False,True,False,False,0.0,3109.3648778,39.91176443039239,10.053863553994775,0.0,0.0,-0.6311184030626197,0.0,-0.3333333333333333,0
BD-06 1339 b,BD-06 1339,2.42,,196.050555,,3.8728,0.0428,811.0,1.33,4324.0,-1.022,-0.14,K7/M0 V,0.6074189989431872,0.9,0.15336966634418456,False,False,False,False,True,False,False,0.0,0.0,-0.23623043687653475,-0.30493520126973017,0.0,0.0,-1.3705222860267978,-0.9951300000000001,-0.5714285714285715,0
BD-06 1339 c,BD-06 1339,2.42,,196.050555,,125.94,0.435,811.0,1.33,4324.0,-1.022,-0.14,K7/M0 V,0.6074189989431872,0.9,4.021485297288392,False,False,False,False,True,False,False,0.0,0.0,3.7607066827484834,1.6556481747628629,0.0,0.0,-1.3705222860267978,-0.9951300000000001,-0.5714285714285715,0
BD-08 2823 b,BD-08 2823,2.42,,2948.49413174,9.277,5.6,0.1038,811.0,1.33,5577.0,-0.02687,-0.02,G0 V,0.6074189989431872,1.0,0.45823464564573674,False,False,False,True,False,False,False,0.0,2752.44357674,-0.1796754426355238,0.0,0.0,0.0,0.0,0.0,0.0,0
